Data.Documentation.10.5067/NIMBUS/NmIcEdg2,NmIcEdg2,Ice Edge Points from Nimbus Visible Imagery L2,version=1,source=final\savNC640830.edit.txt
longitude, latitude, File_name, EdgeType, ishift, jshift, (Analyst)
346.65866,76.21249,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,-1,0,0,ggc
348.0214,77.761154,NmAVCS1H.60.01.1964.01.245.06.53.49.01.02.916.946.936.1113.02.hdf,-1,0,0,ggc
352.58,77.76,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
352.23,77.61,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
352.68,77.48,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
353.06,77.3,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
353.02,77.14,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
353.02,77.05,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
352.18,76.94,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
349.93,76.87,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
349.83,76.74,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
349.67,76.62,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
348.93,76.58,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
348.3,76.48,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.95,76.31,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.78,76.22,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.68,76.05,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.65,75.94,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.08,75.89,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.43,75.9,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.11,75.82,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.09,75.74,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.17,75.69,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.37,75.58,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.61,75.44,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
355.84042,77.71918,NmAVCS1H.43.01.1964.01.244.06.17.28.01.01.904.934.948.975.02.hdf,-1,0,0,ggc
2.759792,77.858765,NmAVCS1H.72.01.1964.01.246.05.51.51.01.02.924.954.928.1135.02.hdf,-1,0,0,ggc
14.921809,81.20622,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,-1,0,0,ggc
21.01636,82.12268,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,-1,0,0,ggc

348.3,76.48,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.95,76.31,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.78,76.22,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.68,76.05,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.65,75.94,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
347.08,75.89,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.43,75.9,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.11,75.82,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.09,75.74,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.17,75.69,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.37,75.58,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
346.61,75.44,NmAVCS1H.46.03.1964.01.244.11.09.40.01.02.922.952.930.965.70.hdf,2,0,0,ggc
355.84042,77.71918,NmAVCS1H.43.01.1964.01.244.06.17.28.01.01.904.934.948.975.02.hdf,-1,0,0,ggc
2.759792,77.858765,NmAVCS1H.72.01.1964.01.246.05.51.51.01.02.924.954.928.1135.02.hdf,-1,0,0,ggc
14.921809,81.20622,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,-1,0,0,ggc
21.01636,82.12268,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,-1,0,0,ggc
